127.0.0.1 - - [02/Sep/2020:14:02:31 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Sep/2020:14:02:33 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 93
0:0:0:0:0:0:0:1 - - [02/Sep/2020:14:02:33 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 2625
0:0:0:0:0:0:0:1 - - [02/Sep/2020:14:02:33 +0900] "GET /Lecture_Evaluation/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [02/Sep/2020:14:02:33 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [02/Sep/2020:14:02:33 +0900] "GET /Lecture_Evaluation/js/jquery.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [02/Sep/2020:14:02:34 +0900] "GET /Lecture_Evaluation/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [02/Sep/2020:14:02:34 +0900] "GET /Lecture_Evaluation/js/popper.js HTTP/1.1" 200 19191
0:0:0:0:0:0:0:1 - - [02/Sep/2020:14:02:44 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 2625
0:0:0:0:0:0:0:1 - - [02/Sep/2020:14:02:44 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2020:14:02:45 +0900] "GET /favicon.ico HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [02/Sep/2020:14:02:47 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 2625
0:0:0:0:0:0:0:1 - - [02/Sep/2020:14:02:50 +0900] "POST /Lecture_Evaluation/userLoginAction.jsp HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [02/Sep/2020:14:02:50 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 10194
0:0:0:0:0:0:0:1 - - [02/Sep/2020:14:02:55 +0900] "GET /Lecture_Evaluation/index.jsp?search=3 HTTP/1.1" 200 10194
0:0:0:0:0:0:0:1 - - [02/Sep/2020:14:02:57 +0900] "GET /Lecture_Evaluation/index.jsp?search= HTTP/1.1" 200 10194
0:0:0:0:0:0:0:1 - - [02/Sep/2020:14:03:01 +0900] "GET /Lecture_Evaluation/index.jsp?search=2 HTTP/1.1" 200 9158
0:0:0:0:0:0:0:1 - - [02/Sep/2020:14:04:33 +0900] "GET /Lecture_Evaluation/index.jsp?search= HTTP/1.1" 200 10179
0:0:0:0:0:0:0:1 - - [02/Sep/2020:14:05:34 +0900] "GET /Lecture_Evaluation/index.jsp?search= HTTP/1.1" 200 10170
0:0:0:0:0:0:0:1 - - [02/Sep/2020:14:06:33 +0900] "GET /Lecture_Evaluation/index.jsp?search= HTTP/1.1" 200 10170
0:0:0:0:0:0:0:1 - - [02/Sep/2020:16:11:32 +0900] "GET /Lecture_Evaluation/index.jsp?search= HTTP/1.1" 200 93
0:0:0:0:0:0:0:1 - - [02/Sep/2020:16:11:33 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 2625
0:0:0:0:0:0:0:1 - - [02/Sep/2020:16:11:35 +0900] "POST /Lecture_Evaluation/userLoginAction.jsp HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [02/Sep/2020:16:11:35 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 10170
0:0:0:0:0:0:0:1 - - [02/Sep/2020:16:11:38 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 10170
0:0:0:0:0:0:0:1 - - [02/Sep/2020:16:11:40 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 10170
0:0:0:0:0:0:0:1 - - [02/Sep/2020:16:15:43 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 10170
0:0:0:0:0:0:0:1 - - [02/Sep/2020:16:16:16 +0900] "POST /Lecture_Evaluation/evaluationRegisterAction.jsp HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [02/Sep/2020:16:16:16 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 11213
0:0:0:0:0:0:0:1 - - [02/Sep/2020:16:16:33 +0900] "GET /Lecture_Evaluation/index.jsp?lectureDivide=%EA%B5%90%EC%96%91&searchType=%EC%B5%9C%EC%8B%A0%EC%88%9C&search= HTTP/1.1" 200 10211
0:0:0:0:0:0:0:1 - - [02/Sep/2020:16:16:36 +0900] "GET /Lecture_Evaluation/index.jsp?lectureDivide=%EC%A0%84%EC%B2%B4&searchType=%EC%B5%9C%EC%8B%A0%EC%88%9C&search= HTTP/1.1" 200 11213
